Time,Price,Trade Size,Type
16:53:40,1.55,1300,Sell Down
16:53:39,1.55,2000,Sell Down
16:53:37,1.56,100,Buy Up
16:53:35,1.55,700,Sell Down
16:53:35,1.55,100,Sell Down
16:53:35,1.55,5100,Sell Down
16:53:31,1.55,1900,Sell Down
16:53:31,1.55,2600,Sell Down
16:53:30,1.56,200,Buy Up
16:53:29,1.56,400,Buy Up
16:53:24,1.56,2900,Buy Up
16:53:21,1.55,2400,Sell Down
16:53:21,1.55,100,Sell Down
16:53:21,1.55,100,Sell Down
16:53:21,1.55,100,Sell Down
16:53:20,1.55,5400,Sell Down
16:53:16,1.56,500,Buy Up
16:53:15,1.56,1300,Buy Up
16:53:15,1.55,5400,Sell Down
16:53:13,1.56,400,Buy Up
16:53:10,1.56,2000,Buy Up
16:53:09,1.55,9100,Sell Down
16:53:09,1.55,100,Sell Down
16:53:09,1.55,800,Sell Down
16:53:08,1.56,100,Buy Up
16:53:04,1.55,1200,Sell Down
16:53:04,1.55,1600,Sell Down
16:53:04,1.55,1000,Sell Down
16:53:04,1.55,100,Sell Down
16:53:04,1.55,900,Sell Down
16:53:01,1.55,1300,Sell Down
16:53:01,1.56,400,Buy Up
16:52:58,1.55,5600,Sell Down
16:52:52,1.56,1500,Buy Up
16:52:48,1.56,400,Buy Up
16:52:46,1.55,7500,Sell Down
16:52:45,1.55,6000,Sell Down
16:52:43,1.56,2900,Buy Up
16:52:42,1.55,3000,Sell Down
16:52:39,1.55,5200,Sell Down
16:52:35,1.56,200,Buy Up
16:52:32,1.56,400,Buy Up
16:52:30,1.55,6300,Sell Down
16:52:27,1.55,11200,Sell Down
16:52:25,1.55,700,Sell Down
16:52:22,1.55,5400,Sell Down
16:52:20,1.56,4500,Buy Up
16:52:18,1.56,1300,Buy Up
16:52:16,1.56,500,Buy Up
16:52:15,1.55,6400,Sell Down
16:52:14,1.55,2800,Sell Down
16:52:08,1.56,114600,Buy Up
16:52:06,1.55,1300,Sell Down
16:52:03,1.55,4900,Sell Down
16:52:01,1.55,1300,Sell Down
16:51:58,1.55,5200,Sell Down
16:51:55,1.56,500,Buy Up
16:51:55,1.56,200,Buy Up
16:51:46,1.56,3800,Buy Up
16:51:44,1.56,2200,Buy Up
16:51:44,1.55,4800,Sell Down
16:51:39,1.56,500,Buy Up
16:51:39,1.55,6400,Sell Down
16:51:30,1.55,700,Sell Down
16:51:27,1.55,4700,Sell Down
16:51:23,1.56,500,Buy Up
16:51:22,1.55,5500,Sell Down
16:51:22,1.55,2500,Sell Down
16:51:20,1.56,700,Buy Up
16:51:17,1.56,900,Buy Up
16:51:12,1.55,1300,Sell Down
16:51:09,1.56,200,Buy Up
16:51:09,1.55,5700,Sell Down
16:51:06,1.56,500,Buy Up
16:51:06,1.55,6400,Sell Down
16:51:02,1.55,300,Sell Down
16:51:02,1.55,2500,Sell Down
16:50:56,1.56,100,Buy Up
16:50:51,1.55,7000,Sell Down
16:50:51,1.55,500,Sell Down
16:50:50,1.56,500,Buy Up
16:50:47,1.55,7600,Sell Down
16:50:45,1.56,3200,Buy Up
16:50:41,1.55,700,Sell Down
16:50:39,1.56,100,Buy Up
16:50:33,1.55,6400,Sell Down
16:50:33,1.55,200,Sell Down
16:50:33,1.55,100,Sell Down
16:50:33,1.55,400,Sell Down
16:50:30,1.55,1600,Sell Down
16:50:30,1.55,2000,Sell Down
16:50:30,1.55,1500,Sell Down
16:50:30,1.55,2400,Sell Down
16:50:30,1.56,500,Buy Up
16:50:24,1.56,2600,Buy Up
16:50:23,1.55,100,Sell Down
16:50:23,1.55,100,Sell Down
16:50:23,1.55,300,Sell Down
16:50:23,1.55,900,Sell Down
16:50:14,1.55,6600,Sell Down
16:50:11,1.55,2500,Sell Down
16:50:11,1.55,1000,Sell Down
16:50:11,1.55,2000,Sell Down
16:50:11,1.56,100,Buy Up
16:50:05,1.56,600,Buy Up
16:49:55,1.55,300,Sell Down
16:49:55,1.55,100,Sell Down
16:49:55,1.55,4300,Sell Down
